city,year,month,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index
成都,2017,3,30.5728,104.0668,31,11.870967741935484,15.451612903225806,8.390322580645162,7.061290322580645,10.167741935483871,-1.7032258064516128,74.29032258064517,42.6,1.3741935483870968,25,0,12.838709677419354,24.91290322580645,0,0,4.4835332437275985,6,11,10.221612903225807,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,68.29825387345328,,,,,
成都,2017,4,30.5728,104.0668,30,17.863333333333333,22.30666666666667,13.47,8.836666666666666,17.44333333333333,-0.42,70.93333333333334,103.8,3.46,22,1,14.903333333333334,29.076666666666664,0,0,6.734455092592593,14,7,14.724333333333334,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,81.0848936760013,,,,,
成都,2017,5,30.5728,104.0668,31,22.451612903225808,27.5258064516129,17.33225806451613,10.193548387096774,22.81935483870968,0.36774193548387096,61.74193548387097,51.3,1.6548387096774193,22,0,15.816129032258065,30.838709677419356,2,3,8.520400089605735,17,2,18.660967741935483,8,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,86.77242765132462,,,,,
成都,2017,6,30.5728,104.0668,30,24.38,28.53666666666667,20.459999999999997,8.076666666666666,26.576666666666664,2.1966666666666663,71.33333333333333,104.1,3.4699999999999998,22,0,12.636666666666667,25.546666666666667,0,0,8.269931388888889,17,6,16.445,5,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,81.91877111436698,,,,57.24665331497548,
成都,2017,7,30.5728,104.0668,31,27.83225806451613,32.674193548387095,23.580645161290324,9.093548387096776,32.25806451612903,4.425806451612904,74.48387096774194,183.7,5.925806451612903,27,1,12.035483870967743,26.67096774193548,0,0,10.867634677419355,27,0,19.679032258064513,28,6,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.25495156635017,,,,40.91159457213827,
成都,2017,8,30.5728,104.0668,31,27.141935483870967,31.406451612903226,23.548387096774192,7.858064516129032,30.67096774193548,3.5290322580645164,73.03225806451613,184.5,5.951612903225806,28,1,15.509677419354839,31.812903225806448,1,2,8.453633870967742,19,4,15.169677419354839,25,2,0,0,,,,,,,,0.0,0.0,0.0,0.0,75.49096895829885,,,,43.363193740771386,
成都,2017,9,30.5728,104.0668,30,23.063333333333333,26.279999999999998,20.573333333333334,5.706666666666667,25.259999999999998,2.1966666666666663,76.33333333333333,38.3,1.2766666666666666,21,0,11.683333333333334,22.813333333333333,0,0,3.96853287037037,6,16,9.460333333333333,2,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,83.51100818884045,,,,,
成都,2017,10,30.5728,104.0668,31,17.1,19.635483870967743,15.006451612903225,4.629032258064516,17.148387096774194,0.04838709677419383,78.93548387096774,42.1,1.3580645161290323,28,0,11.77741935483871,22.287096774193547,0,0,2.394721505376344,2,20,6.0038709677419355,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,77.04077048046378,,,,,
成都,2017,11,30.5728,104.0668,30,13.713333333333335,17.436666666666667,10.45,6.986666666666666,12.426666666666668,-1.2866666666666666,70.9,8.0,0.26666666666666666,15,0,11.646666666666667,22.11,0,0,5.883324444444444,10,7,8.526666666666667,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.16389829803612,,,,,
成都,2017,12,30.5728,104.0668,31,8.26774193548387,12.85483870967742,4.232258064516128,8.62258064516129,5.535483870967742,-2.732258064516129,65.83870967741936,4.2,0.13548387096774195,8,0,10.864516129032259,21.154838709677417,0,0,6.940634229390681,18,7,8.737741935483871,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,61.857375008401455,,,,,76.78145803463131
