time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,city,lat,lon,year,month,day,season
2023-07-25,48.020833333333336,288.4208333333333,225.91666666666663,18.291666666666668,6.3875,94.58333333333331,683.625,乌鲁木齐,43.8256,87.6168,2023,7,25,summer
2023-07-26,89.05416666666667,397.8541666666667,260.3333333333333,25.59166666666667,7.391666666666667,84.33333333333333,871.2083333333334,乌鲁木齐,43.8256,87.6168,2023,7,26,summer
2023-07-27,99.97083333333336,461.7125,254.95833333333331,23.8,7.458333333333333,96.91666666666669,1025.6666666666667,乌鲁木齐,43.8256,87.6168,2023,7,27,summer
2023-07-28,43.36666666666667,295.2333333333333,241.45833333333331,21.391666666666666,7.279166666666666,92.125,711.2916666666666,乌鲁木齐,43.8256,87.6168,2023,7,28,summer
2023-07-29,28.5625,95.3875,223.625,19.6625,7.633333333333333,72.75,176.20833333333334,乌鲁木齐,43.8256,87.6168,2023,7,29,summer
2023-07-30,16.804166666666667,60.96666666666667,279.4166666666667,28.8,8.4,63.79166666666666,108.91666666666669,乌鲁木齐,43.8256,87.6168,2023,7,30,summer
2023-07-31,90.62916666666666,415.0125,273.125,26.383333333333336,7.616666666666667,80.20833333333333,889.125,乌鲁木齐,43.8256,87.6168,2023,7,31,summer
2023-08-01,112.9875,556.1458333333334,258.2916666666667,20.77083333333333,7.154166666666666,99.125,1241.2083333333333,乌鲁木齐,43.8256,87.6168,2023,8,1,summer
2023-08-02,62.4875,335.5,253.33333333333331,20.620833333333334,6.8375,93.45833333333331,804.3333333333334,乌鲁木齐,43.8256,87.6168,2023,8,2,summer
2023-08-03,70.73333333333333,389.2375,238.375,22.27083333333333,7.0875,78.33333333333333,860.8333333333334,乌鲁木齐,43.8256,87.6168,2023,8,3,summer
2023-08-04,85.95,413.525,260.9583333333333,24.383333333333336,7.1125,77.29166666666667,927.2916666666666,乌鲁木齐,43.8256,87.6168,2023,8,4,summer
2023-08-05,68.86666666666666,382.8666666666666,244.25,20.541666666666668,6.633333333333333,88.58333333333333,892.0833333333334,乌鲁木齐,43.8256,87.6168,2023,8,5,summer
2023-08-06,71.7,370.6125,238.0,20.179166666666667,6.695833333333333,91.91666666666669,843.0416666666666,乌鲁木齐,43.8256,87.6168,2023,8,6,summer
2023-08-07,73.40416666666667,372.7458333333333,265.7083333333333,22.666666666666668,7.370833333333334,85.20833333333333,859.125,乌鲁木齐,43.8256,87.6168,2023,8,7,summer
2023-08-08,39.06666666666667,160.82500000000002,216.75,13.8875,5.25,89.66666666666667,318.75,乌鲁木齐,43.8256,87.6168,2023,8,8,summer
2023-08-09,30.566666666666663,136.25833333333333,249.08333333333331,21.54583333333333,6.25,76.79166666666667,282.3333333333333,乌鲁木齐,43.8256,87.6168,2023,8,9,summer
2023-08-10,29.929166666666664,174.09166666666667,246.375,21.14583333333333,6.829166666666667,90.08333333333331,408.625,乌鲁木齐,43.8256,87.6168,2023,8,10,summer
2023-08-11,92.9875,453.06666666666666,264.5,24.745833333333334,6.404166666666666,84.20833333333333,973.4166666666666,乌鲁木齐,43.8256,87.6168,2023,8,11,summer
2023-08-12,33.86666666666667,207.66666666666663,190.54166666666663,9.266666666666667,4.275,114.125,461.625,乌鲁木齐,43.8256,87.6168,2023,8,12,summer
2023-08-13,22.633333333333336,119.85416666666669,198.58333333333331,12.429166666666667,4.391666666666667,90.83333333333331,239.16666666666663,乌鲁木齐,43.8256,87.6168,2023,8,13,summer
2023-08-14,35.13333333333333,214.58333333333331,235.95833333333331,22.3625,5.854166666666667,57.958333333333336,518.8333333333334,乌鲁木齐,43.8256,87.6168,2023,8,14,summer
2023-08-15,14.225,41.80416666666667,202.33333333333331,16.095833333333335,5.633333333333333,62.75,56.875,乌鲁木齐,43.8256,87.6168,2023,8,15,summer
2023-08-16,39.15,236.4625,281.2083333333333,27.766666666666666,9.020833333333334,68.83333333333333,558.2083333333334,乌鲁木齐,43.8256,87.6168,2023,8,16,summer
2023-08-17,42.35,223.0375,279.125,26.47083333333333,7.8125,81.54166666666667,469.9166666666667,乌鲁木齐,43.8256,87.6168,2023,8,17,summer
2023-08-18,94.81666666666666,407.35833333333335,306.4583333333333,27.429166666666664,7.212499999999999,67.04166666666667,872.875,乌鲁木齐,43.8256,87.6168,2023,8,18,summer
2023-08-19,56.47916666666666,275.5708333333333,270.2916666666667,25.225,7.15,86.875,594.625,乌鲁木齐,43.8256,87.6168,2023,8,19,summer
2023-08-20,74.33333333333333,389.5541666666666,252.5,22.275,6.875,87.5,869.5833333333334,乌鲁木齐,43.8256,87.6168,2023,8,20,summer
2023-08-21,76.47916666666667,379.3958333333333,277.9583333333333,23.625,8.420833333333333,87.66666666666667,838.0416666666666,乌鲁木齐,43.8256,87.6168,2023,8,21,summer
2023-08-22,51.208333333333336,278.52500000000003,248.20833333333331,20.375,6.7625,90.875,672.1666666666666,乌鲁木齐,43.8256,87.6168,2023,8,22,summer
2023-08-23,33.49583333333333,191.91666666666663,220.625,18.58333333333333,6.2875000000000005,94.25,419.1666666666667,乌鲁木齐,43.8256,87.6168,2023,8,23,summer
2023-08-24,53.24583333333334,280.1166666666667,244.58333333333331,22.041666666666668,7.1125,82.125,615.1666666666666,乌鲁木齐,43.8256,87.6168,2023,8,24,summer
2023-08-25,57.98333333333333,316.95,233.5,20.441666666666663,6.191666666666666,78.16666666666667,732.125,乌鲁木齐,43.8256,87.6168,2023,8,25,summer
2023-08-26,98.325,473.3375,256.75,25.120833333333334,7.266666666666667,74.75,1056.0416666666667,乌鲁木齐,43.8256,87.6168,2023,8,26,summer
2023-08-27,109.43333333333334,473.7375,288.2083333333333,29.679166666666664,7.141666666666667,69.16666666666667,1057.25,乌鲁木齐,43.8256,87.6168,2023,8,27,summer
2023-08-28,114.8375,614.0500000000001,221.58333333333331,18.2875,4.858333333333333,77.29166666666667,1412.625,乌鲁木齐,43.8256,87.6168,2023,8,28,summer
2023-08-29,31.2125,181.0625,186.41666666666663,11.291666666666666,4.141666666666667,84.5,408.7083333333333,乌鲁木齐,43.8256,87.6168,2023,8,29,summer
2023-08-30,24.08333333333333,97.6875,256.875,26.129166666666663,7.708333333333333,68.625,186.08333333333331,乌鲁木齐,43.8256,87.6168,2023,8,30,summer
2023-08-31,74.39166666666667,351.7875,300.4166666666667,26.27083333333333,7.2875,68.5,774.9166666666666,乌鲁木齐,43.8256,87.6168,2023,8,31,summer
2023-09-01,44.87916666666666,236.24166666666667,213.70833333333331,13.983333333333334,5.925,80.58333333333333,514.5833333333334,乌鲁木齐,43.8256,87.6168,2023,9,1,autumn
2023-09-02,25.5625,141.17916666666667,247.25,25.325,7.129166666666666,64.54166666666667,313.3333333333333,乌鲁木齐,43.8256,87.6168,2023,9,2,autumn
2023-09-03,21.354166666666668,125.00833333333333,224.29166666666663,21.14583333333333,7.4375,78.0,288.7083333333333,乌鲁木齐,43.8256,87.6168,2023,9,3,autumn
2023-09-04,70.37083333333334,372.5375,269.625,24.175,6.9375,65.625,821.5833333333334,乌鲁木齐,43.8256,87.6168,2023,9,4,autumn
2023-09-05,19.4,50.89166666666667,193.33333333333331,13.283333333333331,5.425,77.875,69.45833333333333,乌鲁木齐,43.8256,87.6168,2023,9,5,autumn
2023-09-06,14.633333333333333,64.52083333333333,267.125,27.8125,8.454166666666667,52.5,125.45833333333331,乌鲁木齐,43.8256,87.6168,2023,9,6,autumn
2023-09-07,79.30833333333334,313.8041666666667,341.0833333333333,30.9625,8.104166666666666,45.79166666666666,633.4583333333334,乌鲁木齐,43.8256,87.6168,2023,9,7,autumn
2023-09-08,96.91666666666669,395.6041666666667,366.125,33.2625,10.595833333333331,51.5,811.7916666666666,乌鲁木齐,43.8256,87.6168,2023,9,8,autumn
2023-09-09,23.204166666666666,105.9625,263.375,21.70833333333333,8.495833333333334,77.29166666666667,215.83333333333331,乌鲁木齐,43.8256,87.6168,2023,9,9,autumn
2023-09-10,57.675,251.59166666666667,297.3333333333333,30.54583333333333,8.308333333333334,57.458333333333336,507.7083333333333,乌鲁木齐,43.8256,87.6168,2023,9,10,autumn
2023-09-11,91.80833333333334,352.6125,361.5416666666667,34.862500000000004,10.108333333333333,46.5,709.9166666666666,乌鲁木齐,43.8256,87.6168,2023,9,11,autumn
2023-09-12,101.17916666666667,488.4375,291.375,25.35833333333333,7.733333333333333,59.79166666666666,1025.75,乌鲁木齐,43.8256,87.6168,2023,9,12,autumn
2023-09-13,29.52083333333333,82.94583333333334,198.70833333333331,16.266666666666666,5.041666666666667,69.83333333333333,120.0,乌鲁木齐,43.8256,87.6168,2023,9,13,autumn
2023-09-14,26.8,95.89583333333331,294.4583333333333,32.63333333333333,9.758333333333333,48.54166666666666,168.66666666666666,乌鲁木齐,43.8256,87.6168,2023,9,14,autumn
2023-09-15,14.754166666666668,23.633333333333336,234.75,22.72083333333333,7.291666666666667,56.41666666666666,8.958333333333334,乌鲁木齐,43.8256,87.6168,2023,9,15,autumn
